1H-13C HMBC NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
324	4.0155	68.7716	1007484470.00
325	3.199	72.4276	1007876704.00
326	3.5997	53.7123	1009051933.00
327	3.642	73.1498	-1009327593.00
328	4.1756	104.1543	1010696245.00
329	3.7256	99.0881	1011724357.00
330	4.2044	98.4546	1013447400.00
331	3.84	70.7693	1015766105.00
332	3.5336	68.6233	1015905218.00
333	3.9275	96.2702	1019100737.00
334	3.772	101.5001	-1019338955.00
335	3.5318	80.721	-1023966162.00
336	3.5162	72.8456	1026156585.00
337	3.504	70.9079	-1026799911.00
338	3.6049	65.4666	-1027844049.00
339	3.9425	61.2158	-1029385837.00
340	3.6434	74.5543	-1029594886.00
341	4.1841	104.2391	-1031711844.00
342	3.4896	103.7562	1033749058.00
343	3.8775	100.8564	-1035430622.00
344	3.7275	71.2595	-1035898488.00
345	3.4808	72.7951	-1035913541.00
346	5.1704	72.2892	-1036648438.00
347	3.9176	59.9623	1037244145.00
348	3.9023	77.486	-1038256765.00
349	3.4283	68.5146	1041052609.00
350	3.5565	72.1677	1041265848.00
351	3.4873	82.4964	1042453689.00
352	3.618	101.7048	-1043498846.00
353	3.4668	53.8533	-1044042167.00
354	3.7216	67.4823	1044618756.00
355	4.0861	72.4718	-1045198571.00
356	3.485	56.4285	1048274960.00
357	3.2232	76.6398	1053148090.00
358	3.6281	77.4922	1053198647.00
359	3.8668	70.2021	-1058236557.00
360	3.663	67.7697	-1058542719.00
361	3.4575	48.2954	1060097287.00
362	3.7685	60.6412	1060187778.00
363	3.5036	100.4177	-1060223672.00
364	3.3054	59.7199	1062754374.00
365	3.698	68.6107	-1063425220.00
366	3.9134	71.2098	1064289035.00
367	3.4927	78.0058	-1067245414.00
368	3.5251	66.5546	1069539858.00
369	3.4236	68.6041	1073254323.00
370	3.6926	81.7586	1078162016.00
371	3.4578	41.2801	1079391129.00
372	3.4888	51.3557	1081133420.00
373	3.9389	81.9599	-1081452129.00
374	3.4608	61.4026	1082172695.00
375	3.4961	53.8191	-1083050430.00
376	3.4622	46.6513	-1083147143.00
377	3.6448	65.3048	-1086819774.00
378	3.7654	65.1976	-1087401941.00
379	3.6125	56.4498	-1091456718.00
380	3.4898	46.7417	-1094455941.00
381	3.4968	94.4446	-1095096730.00
382	4.9409	92.1536	-1095714379.00
383	3.9554	71.9169	1095865605.00
384	3.5471	104.3225	-1097660195.00
385	3.6411	81.1023	1099554989.00
386	3.6114	101.195	1100332032.00
387	3.9294	66.3057	1100776087.00
388	3.465	87.2435	-1109320635.00
389	3.9554	67.2798	1110225891.00
390	3.89	100.974	1119049222.00
391	3.6342	53.6218	1119817992.00
392	3.478	70.7583	-1121725994.00
393	3.4951	87.1885	-1123662024.00
394	4.0256	63.674	1126005235.00
395	4.8931	71.8547	1126703397.00
396	4.0519	62.4189	1129457240.00
397	3.3081	70.4014	1131368907.00
398	3.8416	74.4791	-1137296998.00
399	3.9132	65.2674	1138883460.00
400	3.6143	100.4159	1145738542.00
401	3.486	41.25	1148597294.00
402	3.6355	95.4369	1148972060.00
403	3.8572	75.5874	-1149446486.00
404	3.8576	67.6124	-1150758777.00
405	3.7655	74.5919	1153499556.00
406	4.2446	80.4271	-1153828433.00
407	3.6241	56.5936	1155882470.00
408	3.4937	71.0494	-1157578424.00
409	3.9044	71.5869	-1158799453.00
410	3.4614	94.4486	1159554326.00
411	5.1387	70.3815	1162403457.00
412	3.4955	41.2907	-1163800523.00
413	3.712	73.2868	-1165189659.00
414	3.7758	92.1078	-1165973736.00
415	3.7233	97.0617	1180787648.00
416	3.6352	78.573	1181939463.00
417	3.9209	80.3635	-1187891115.00
418	3.506	76.5991	-1191677966.00
419	3.9261	71.5698	-1191682879.00
420	3.9499	75.8841	-1196592779.00
421	3.6219	100.7433	1197506831.00
422	3.4011	62.2658	-1199294149.00
423	3.6914	97.059	-1200512562.00
424	4.2117	75.1766	-1202094353.00
425	4.0197	73.4718	-1202428018.00
426	3.7014	81.6927	-1206885295.00
427	4.0264	77.2623	-1208187114.00
428	3.641	100.757	-1209321367.00
429	3.5462	80.712	-1210605009.00
430	3.5702	103.3786	-1211093009.00
431	3.4892	83.2863	1215764409.00
432	3.8874	66.5911	-1219326173.00
433	3.5924	71.3301	1220845151.00
434	3.8688	101.0055	1220962764.00
435	3.9287	104.4706	1224868857.00
436	4.2195	75.4111	1228793872.00
437	3.9656	68.1544	-1232456293.00
438	3.4542	71.3592	1239086162.00
439	3.6077	72.7585	1239295658.00
440	3.6914	75.4639	1244575185.00
441	3.3095	73.04	-1247715966.00
442	3.934	70.6016	1248783769.00
443	3.3642	98.0703	1248913129.00
444	3.2154	75.3995	1250251792.00
445	3.4504	69.4434	1253344884.00
446	3.6052	77.2852	-1253983025.00
447	3.9597	67.8575	1258474740.00
448	3.8105	71.4934	-1261304449.00
449	3.4584	53.8567	1262538283.00
450	3.6055	72.2264	1270639892.00
451	3.8858	100.8219	1279920436.00
452	3.4937	96.2257	-1280191493.00
453	3.4577	74.108	-1283852876.00
454	3.9352	81.0604	-1283951258.00
455	3.3095	74.3101	1284117869.00
456	3.4607	51.3357	1296736999.00
457	5.3078	72.8174	1296758606.00
458	3.9673	72.429	1303914631.00
459	3.9138	78.2207	-1305046167.00
460	3.5145	69.5326	-1306850002.00
461	5.1557	70.3293	-1309142619.00
462	4.0931	72.4777	1309931548.00
463	3.6175	53.6798	-1312217766.00
464	3.2217	74.7338	1313044690.00
465	3.1183	69.775	1314505534.00
466	3.1623	69.6087	1317271438.00
467	4.5783	74.0708	-1319797824.00
468	3.6163	64.579	1321522306.00
469	5.2123	76.6451	-1323527816.00
470	3.599	72.5235	-1324148666.00
471	3.4309	60.9379	1325068341.00
472	3.5318	71.1133	1326498238.00
473	3.4941	40.9261	-1330319224.00
474	4.0548	74.4394	-1332248058.00
475	3.7669	92.1402	-1334627368.00
476	3.7506	70.6353	-1336071296.00
477	3.635	61.8289	1339317155.00
478	3.6017	78.9672	1339868484.00
479	3.5377	104.2798	1340838787.00
480	4.0855	70.719	-1346282021.00
481	5.3316	72.7713	1348343500.00
482	3.1885	72.4471	-1349639221.00
483	3.7052	67.797	1352556884.00
484	3.6372	73.5216	1353021856.00
485	3.4696	92.2196	-1353228808.00
486	3.9547	77.6802	1355744665.00
487	4.869	71.8321	1356041098.00
488	3.7909	66.4406	1358590520.00
489	3.4891	94.81	1360641217.00
490	3.7659	62.4316	1360703913.00
491	3.9746	61.1624	-1361848981.00
492	4.9337	92.0884	1362174353.00
493	3.1646	69.2804	1366227622.00
494	3.7181	99.0505	-1370798598.00
495	3.6478	66.4417	1374944894.00
496	3.7243	81.5217	1380140328.00
497	3.8668	97.8069	1384314316.00
498	3.6369	61.3488	1384992623.00
499	3.4382	97.9999	-1389499960.00
500	3.9531	67.7937	-1389723254.00
501	3.6686	72.5705	1390488471.00
502	3.4975	63.1764	-1394583672.00
503	3.5015	99.8933	1396805539.00
504	3.6245	67.7744	1399033374.00
505	3.201	95.8967	-1407201326.00
506	3.7975	66.2381	-1407438458.00
507	3.7443	81.334	1409831472.00
508	3.6184	65.2007	-1411504920.00
509	3.9103	59.1548	-1414724728.00
510	3.9654	96.9561	-1421586979.00
511	3.4613	83.2368	1423841667.00
512	5.2219	76.5908	1426946937.00
