HMBC    
98.0938    3.9737
72.3005    3.9786
88.7713    3.4651
69.6817    3.1107
77.3098    3.3143
71.6567    3.4412
80.4675    5.2152
70.5872    3.994
68.2996    3.7232
101.4523    3.7373
74.4693    4.175
69.6073    5.1505
102.4183    3.5314
70.4077    3.8164
63.4258    4.1372
75.9044    3.5435
77.791    3.642
82.5164    3.6352
99.8973    3.4572
92.0866    5.3578
72.4394    3.7243
62.9079    3.7169
76.7791    3.4696
68.524    3.4541
72.1387    3.6761
98.0174    3.855
97.9208    3.3739
70.7906    4.0925
80.626    3.4801
88.5946    3.6397
70.3279    3.299
76.011    3.7844
80.3645    3.9278
60.7073    3.8356
100.8343    3.8556
61.0166    3.7864
98.008    3.5335
66.5617    3.4537
53.9062    3.1147
75.6155    3.5956
56.5809    3.6403
71.8327    3.383
74.7811    3.348
96.87    3.1861
99.0891    3.9658
72.9241    3.7197
65.2392    3.8174
98.1017    3.3969
80.4987    5.2229
78.8969    3.6408
91.9495    3.6079
75.3654    3.85
63.1651    4.1286
65.1943    3.6116
74.4907    3.7598
73.4225    3.6929
78.0559    5.158
100.3647    3.4978
70.7028    3.3837
63.3308    4.0997
75.7669    3.4665
78.0804    5.166
69.6535    5.1434
75.8084    3.7979
81.3826    3.6264
71.2257    3.4238
62.4586    4.0444
71.3651    3.2594
98.1651    3.792
75.5281    3.6998
71.4667    3.7213
74.625    3.6339
62.429    3.4194
97.9776    3.8729
81.535    3.7183
104.4354    4.0063
72.294    3.7177
88.2872    3.4583
96.9978    3.5885
68.5608    3.7772
100.5897    3.6053
75.6747    3.7631
75.9112    3.2066
73.3956    3.5994
76.8887    3.347
70.2188    3.8551
62.7734    3.7799
66.4333    3.8172
71.4357    3.2809
69.821    3.5368
98.0172    3.8488
74.2353    3.495
77.1417    3.612
74.4448    4.1816
68.5443    3.3946
62.2715    3.7944
79.3341    3.5922
71.4711    3.2534
81.3542    3.7501
68.6902    3.8937
60.7259    3.7242
98.0925    3.5274
76.4503    3.4993
66.8186    3.5078
56.375    3.4567
100.519    3.5305
98.0001    3.5614
62.7296    3.6826
59.7702    3.3362
74.7899    3.2836
62.8623    3.6984
60.8692    3.3872
66.678    3.8722
63.4311    3.419
71.3821    5.1698
63.4348    3.4706
95.8807    3.4136
73.5377    3.2882
98.0835    3.7572
96.3793    3.6409
79.6038    3.6156
92.1013    3.6562
96.3116    3.4642
70.8875    3.4576
68.8976    4.1034
70.3431    3.3292
60.9811    3.3939
75.3717    4.1967
97.9707    3.8612
60.8234    3.4097
62.753    3.6901
98.0619    3.7089
70.7805    3.9777
66.4661    3.8971
56.6474    3.4931
68.6388    3.9924
96.9886    3.5029
92.1769    3.6344
91.9416    3.4565
72.7074    5.1764
68.5957    3.3715
70.5557    3.8307
68.1627    3.9552
92.1388    3.6495
72.4688    3.6603
68.6488    4.0091
92.0413    3.4286
63.4166    3.7427
75.5675    3.5772
80.6719    3.9142
65.1742    3.7572
79.6403    3.6061
99.5769    3.4821
70.7801    3.9711
71.5628    3.2676
75.1087    3.3775
56.6138    3.4645
76.2968    3.5913
60.7998    3.2793
62.1104    3.7863
69.4619    3.5617
72.3628    3.3748
73.9326    2.9728
73.0419    3.6153
75.7695    3.2308
99.1267    3.6248
74.2688    3.4397
70.8537    3.4643
78.0435    3.6123
62.1234    3.6411
70.7094    3.7442
72.4869    3.7297
81.6232    3.6159
69.5422    3.1809
74.062    3.4478
67.7122    3.9416
67.4199    3.6517
63.525    3.4571
66.4923    3.8312
75.7302    3.5635
69.8254    3.4422
92.0974    3.6278
69.6241    3.5039
71.3572    3.5836
72.7723    3.2905
81.3182    3.7562
70.3591    3.3191
75.9022    3.7121
70.5254    3.4251
74.244    3.317
68.5649    3.4085
71.4565    3.6092
74.5006    3.6865
72.7678    3.618
76.8392    3.2834
65.2061    3.7903
75.904    3.424
